Judul;Kode Eksemplar;Jumlah Buku yang dipinjam;Frekuensi Peminjaman
HUKUM TATA NEGARA INDONESIA;15.126.2;1;Jarang dipinjam
Akuntansi keuangan intermediate financial reporting buku 2;2309.1;1;Jarang dipinjam
Pengantar ilmu ekonomi makro( teori & soal );33975;5;Sering dipinjam
Pengantar ekonomi makro tinjauan ekonomi syariah;40392;7;Sering dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;278MHS3.2;8;Sering dipinjam
Principles of economics pengantar ekonomi makro;24269;5;Sering dipinjam
Geometri analitik;47484;4;Sering dipinjam
Kalkulus Jilid 1 Edisi 9;50312;2;Jarang dipinjam
Politik hukum tata hukum Indonesia;45331;1;Jarang dipinjam
Kekuasaan politik dan kebudayaan;17430;1;Jarang dipinjam
Public policy pengantar teori dan praktik analisis kebijakan;25320;1;Jarang dipinjam
PENGANTAR ILMU HUKUM TATA NEGARA;15.144.1;1;Jarang dipinjam
Dasar-dasar akuntansi jilid 2;41842;4;Sering dipinjam
Dasar-dasar akuntansi jilid 2;41841;5;Sering dipinjam
Dasar-dasar akuntansi jilid 2;41843;4;Sering dipinjam
Dasar-dasar akuntansi jilid 2;41840;4;Sering dipinjam
Akuntansi manajemen edisi 3 revisi;28379;8;Sering dipinjam
Akuntansi sektor publik;42244;5;Sering dipinjam
AKUNTANSI SEKTOR PUBLIK: Suatu Pengantar;2054.1;2;Jarang dipinjam
Akuntansi keuangan lanjutan (perspektif Indonesia) buku 2;42640;8;Sering dipinjam
Teori ekonomi mikro suatu pengantar;316PB3.4;6;Sering dipinjam
Teori ekonomi makro suatu pengantar;28146;7;Sering dipinjam
"AKUNTANSI SEKTOR
PUBLIK: Suatu Pengantar";780PB3.1;3;Sering dipinjam
Akuntansi sektor publik di indonesia;781HB3.1;6;Sering dipinjam
Hukum administrasi negara;H004.1;7;Sering dipinjam
Pengantar Sosiologi Pendidikan;334sm3;1;Jarang dipinjam
HUKUM ADMINISTRASI NEGARA;46569;1;Jarang dipinjam
MANAJEMEN STRATEGIS;98.3;1;Jarang dipinjam
Akuntansi manajemen informasi untuk pengambilan keputusan strategis;2248.1;1;Jarang dipinjam
UUD RI 1945 sebelum dan setelah amandemen;40888;2;Jarang dipinjam
HUKUM TATA NEGARA INDONESIA;15.126.1;1;Jarang dipinjam
Hukum Tata Negara dan Hukum Administrasi Negara dalam Perspektif Siyasah;15.609.2;1;Jarang dipinjam
Hukum Tata Negara dan Hukum Administrasi Negara dalam Perspektif Siyasah;15.609.1;1;Jarang dipinjam
Latihan Ujian: Hukum Pidana;15.368.1;2;Jarang dipinjam
Pengantar Teori Ekonomi;33420;5;Sering dipinjam
pengantar ilmu ekonomi;12103;1;Jarang dipinjam
Pengantar Teori Ekonomi;172.01;1;Jarang dipinjam
Media konvensional dan media online;48780;5;Sering dipinjam
Teknik membaca;19837;1;Jarang dipinjam
akuntansi sektor publik;91.1;1;Jarang dipinjam
Akuntansi keuangan lanjutan (perspektif Indonesia) buku 2;42639;8;Sering dipinjam
Dasar-Dasar Hukum Pidana;15.274.2;1;Jarang dipinjam
Pengantar sosiologi;19709;3;Sering dipinjam
Hukum administrasi;2861.1;1;Jarang dipinjam
Hukum administrasi negara;2112.5;1;Jarang dipinjam
Pengantar sosiologi;37775;3;Sering dipinjam
Hukum administrasi negara;101sm3;3;Sering dipinjam
Learning english;19841;1;Jarang dipinjam
CARA CEPAT MENGUASAI GRAMMAR TANPA RIBET;23380;1;Jarang dipinjam
Pengantar bisnis: konsep, strategi & kasus;32036;1;Jarang dipinjam
Etika bisnis dan profesi;41890;4;Sering dipinjam
Etika Bisnis;1903.1;1;Jarang dipinjam
Etika Bisnis;35546;5;Sering dipinjam
Etika bisnis dan profesi;47081;5;Sering dipinjam
Etika bisnis dan profesi;48687;6;Sering dipinjam
PENGAJARAN WACANA;60112;1;Jarang dipinjam
Analisis Wacana teori & metode;1098PB3.8;1;Jarang dipinjam
EYD & SEPUTAR KEBAHASAAN-INDONESIA;50413;2;Jarang dipinjam
PENGANTAR SEMANTIK BAHASA INDONESIA;32777;2;Jarang dipinjam
Pengantar bisnis teori dan contoh kasus;40926;2;Jarang dipinjam
Pengantar bisnis;49590;3;Sering dipinjam
Etika bisnis dan profesi;41888;1;Jarang dipinjam
Pengantar Praktis Akuntansi;p0000023;1;Jarang dipinjam
Etika Profesi Berbagai Bidang;39311;1;Jarang dipinjam
AKUNTANSI KEUANGAN INTERMEDIATE ACCOUNTING;50569;1;Jarang dipinjam
AKUNTANSI MANAJEMEN SISTEM PROSES DAN PEMECAHAN SOSIAL;561.1;1;Jarang dipinjam
AKUNTANSI MANAJEMEN SISTEM PROSES DAN PEMECAHAN SOSIAL;41143;2;Jarang dipinjam
Kurikulum dan pembelajaran;19925;1;Jarang dipinjam
IMPLEMENTASI KURIKULUM 2004;31544;1;Jarang dipinjam
IMPLEMENTASI KURIKULUM 2004;19338;1;Jarang dipinjam
Perencanaan Dan Pengembangan Kurikulum;44553;2;Jarang dipinjam
Tanya jawab pengembangan kurikulum & materi pembelajaran;20409;1;Jarang dipinjam
ECONOMICS PENGANTAR MIKRO DAN MAKRO;1406.3.2;7;Sering dipinjam
TEORI DAN METODE DALAM ILMU POLITIK;42736;1;Jarang dipinjam
PERKEMBANGAN HUKUM ADAT INDONESIA;6391;1;Jarang dipinjam
HUKUM BISNIS;28168;4;Sering dipinjam
Pengantar Teori Ekonomi;110011;1;Jarang dipinjam
HUKUM BISNIS;50343;2;Jarang dipinjam
Berjuta rasanya;50637;6;Sering dipinjam
EKONOMI MATEMATIKA BISNIS;33869;4;Sering dipinjam
Hukum agraria;26181;2;Jarang dipinjam
Kepemimpinan sejarah, teori, dan implementasinya pada pengusaha kecil;50703;1;Jarang dipinjam
Kepemimpinan teori dan praktik, edisi keenam;30635;1;Jarang dipinjam
Penyalin cahaya sebuah novel adaptasi;49903;2;Jarang dipinjam
ALAT ANALISIS DATA;44346;3;Sering dipinjam
Metode penelitian kuantitatif;20225;6;Sering dipinjam
AKUNTANSI MANAJEMEN;41115;5;Sering dipinjam
Akuntansi manajemen;49339;3;Sering dipinjam
Manajemen edisi 2;37858;2;Jarang dipinjam
Perpajakan Teori dan Teknis Perhitungan;43017;2;Jarang dipinjam
Perpajakan Teori dan Teknis Perhitungan;U00300041;2;Jarang dipinjam
Perpajakan Teori dan Teknis Perhitungan;U00300044;2;Jarang dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;50058;8;Sering dipinjam
PENGANTAR ILMU EKONOMI EDISI 3;29387;5;Sering dipinjam
Makroekonomi;1.1;1;Jarang dipinjam
Hukum administrasi negara;38786;1;Jarang dipinjam
Hukum administrasi negara;1793.3;1;Jarang dipinjam
Hukum Administrasi Negara;35231;1;Jarang dipinjam
Etika bisnis bagi pelaku bisnis;28555;5;Sering dipinjam
The Essence Of Business Ethics (Etika Bisnis);43776;3;Sering dipinjam
Etika bisnis bagi pelaku bisnis;42082;3;Sering dipinjam
Etika bisnis bagi pelaku bisnis;28557;5;Sering dipinjam
Pengantar bisnis: konsep, strategi & kasus;21810;1;Jarang dipinjam
Ekonomika Makro Edisi Revis;U0000144;7;Sering dipinjam
Akuntansi pengantar 1;49712;2;Jarang dipinjam
Bisnis pengantar konsep, strategi, & kasus;433.2;1;Jarang dipinjam
Ekonomika Makro Edisi Revis;U0000142;5;Sering dipinjam
Pengantar ilmu antropologi;12.16.2;2;Jarang dipinjam
Teori kajian sastra kritis : perspektif tokoh sastra di indonesia;48548;1;Jarang dipinjam
Teori sastra sepanjang zaman : tokoh, konsep, dan aplikasi;48467;1;Jarang dipinjam
Merencanakan Pembelajaran Kimia Di Sekolah : Berbasis Hasil Riset Pengembangan;44770;1;Jarang dipinjam
Rahasia jadi guru favorit-inspiratif;21049;2;Jarang dipinjam
Perencanaa pembelajaran;20537;1;Jarang dipinjam
Belajar dan pembelajaran SAINS;22263;1;Jarang dipinjam
PENGANTAR RISET OPERASI EDISI 3;32424;5;Sering dipinjam
METODE PENELITIAN SASTRA;20938;1;Jarang dipinjam
PSIKOLOGI SASTRA;30321;2;Jarang dipinjam
METODOLOGI PENELITIAN KUALITATIF;48189;2;Jarang dipinjam
Tes bahasa;20338;4;Sering dipinjam
BAHASA INDONESIA UNTUK PERGURUAN TINGGI;24657;1;Jarang dipinjam
MENULIS;1800.1;1;Jarang dipinjam
Metode & teknik menyusun proposal penelitian;19060;2;Jarang dipinjam
Metode penelitian pendidikan & pengembangan;2018.1;1;Jarang dipinjam
Pengantar Ilmu Politik;25514;1;Jarang dipinjam
Ekonomi Makro;339MHS3.1;10;Sering dipinjam
pengantar ilmu ekonomi makro;40179;9;Sering dipinjam
EKONOMI MAKRO;272HB3.1;8;Sering dipinjam
Ekonomi makro pengantar;40947;8;Sering dipinjam
AKUNTANSI SEKTOR PUBLIK: Suatu Pengantar;29203;2;Jarang dipinjam
Akuntansi sektor publik;378apbn3.2;3;Sering dipinjam
Akuntansi sektor publik;1051.3.6;3;Sering dipinjam
Akuntansi sektor publik;17518;3;Sering dipinjam
Kamus istilah keuangan & akuntansi;282SM3;1;Jarang dipinjam
Makro ekonomi : aplikasi untuk indonesia;47593;8;Sering dipinjam
Analisis wacana kajian teoritis dan praktis ed.2;49238;2;Jarang dipinjam
ANALISIS TEKS MEDIA;31523;1;Jarang dipinjam
Critical Discourse Analysis (Analisis Wacana Kritis) : Landasan Teori, Metodologi dan Penerapan;45407;2;Jarang dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;1490;3;Sering dipinjam
JENIS-JENIS TEKS;45349;3;Sering dipinjam
Mudah menguasai SPSS;29715;1;Jarang dipinjam
Akuntansi manajemen : alat pengukuran dan pengambilan keputusan manajerial;27220;7;Sering dipinjam
Akuntansi manajemen biaya sebuah pengantar;49044;5;Sering dipinjam
Auditing jilid 1;322pb3.1;6;Sering dipinjam
akuntansi manajemen ed. 3;24612;1;Jarang dipinjam
Akuntansi manajemen jilid 2;2243.1;1;Jarang dipinjam
Akuntansi manajemen jil.1;2239.4;1;Jarang dipinjam
Media pembelajaran;33565;3;Sering dipinjam
ANALISIS WACANA PENGANTAR ANALISIS TEKS MEDIA;45290;5;Sering dipinjam
AKUNTANSI KEUANGAN;33286;2;Jarang dipinjam
AKUNTANSI KEUANGAN;33283;1;Jarang dipinjam
AKUNTANSI KEUANGAN;41082;2;Jarang dipinjam
AKUNTANSI KEUANGAN;33291;1;Jarang dipinjam
Hukum pajak;24193;2;Jarang dipinjam
Perpajakan Revisi 2008;24228;1;Jarang dipinjam
Akuntansi perpajakan;29285;2;Jarang dipinjam
AKUNTANSI PAJAK ED.2;24172;4;Sering dipinjam
Manajemen Strategis Buku 2;34497;1;Jarang dipinjam
Sosiologi;1523.2;1;Jarang dipinjam
Sosiologi konsep dan teori;23446;1;Jarang dipinjam
Sosiologi;29498;1;Jarang dipinjam
PSIKOLOGI SASTRA;19292;2;Jarang dipinjam
metodologi penelitian sastra;422.01;1;Jarang dipinjam
Mathematics undercover;47168;2;Jarang dipinjam
Stranger than fanfiction;45950;1;Jarang dipinjam
The seagul reader stries;45511;1;Jarang dipinjam
Akuntansi manajemen pendekatan studi kasus;49102;4;Sering dipinjam
AKUNTANSI MANAJEMEN;41139;5;Sering dipinjam
AKUNTANSI MANAJEMEN;39619;4;Sering dipinjam
Ancangan Simiotika dan Pekajian Susastra;20235;1;Jarang dipinjam
Teori dan aplikasi semiotik michael riffaterre;22721;2;Jarang dipinjam
Pengantar Semiotika;45093;2;Jarang dipinjam
Teori sastra sepanjang zaman : tokoh, konsep dan aplikasi;47187;1;Jarang dipinjam
Metodologi penelitian kebudayaan;50761;1;Jarang dipinjam
SEMIOTIKA KAMUNIKASI APLIKASI PRAKTIS BAGI PENELITIAN DAN SKRIPSI KOMUNIKASI;40203;2;Jarang dipinjam
Principles of economics pengantar ekonomi makro;24180;6;Sering dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;178SM3;8;Sering dipinjam
ACCOUNTING PENGANTAR AKUNTANSI BUKU 2;40413;2;Jarang dipinjam
Managerial accounting;42419;2;Jarang dipinjam
Si anak savana;49833;5;Sering dipinjam
Harga sebuah percaya;49783;5;Sering dipinjam
Sagaras;49976;2;Jarang dipinjam
new york times bestselling series;50803;4;Sering dipinjam
AKUNTASI PAJAK;591.3;1;Jarang dipinjam
Akuntansi pajak ed.6;18716;4;Sering dipinjam
Hukum bisnis untuk perusahaan;26679;3;Sering dipinjam
Makroekonomi;304PB3.4;4;Sering dipinjam
Hukum bisnis untuk perusahaan;26680;4;Sering dipinjam
Hukum Bisnis untuk Perusahaan;15.424.2;3;Sering dipinjam
EKONOMI MATEMATIKA BISNIS;33870;6;Sering dipinjam
Akuntansi manajerial ed.14 bku 1;31941;2;Jarang dipinjam
Managerial accounting;42421;2;Jarang dipinjam
AKUNTANSI MANAJEMEN;39881;4;Sering dipinjam
Manajemen operasional;015MHS3.1;3;Sering dipinjam
KUHAP Lengkap;15.224.1;1;Jarang dipinjam
Hukum bisnis untuk perusahaan;26682;3;Sering dipinjam
Hukum Bisnis untuk Perusahaan;15.424.1;2;Jarang dipinjam
KUHAP dan KUHP;15.9.2;1;Jarang dipinjam
Pengantar ilmu ekonomi makro( teori & soal );P01410009;6;Sering dipinjam
pengantar ilmu ekonomi makro;221;4;Sering dipinjam
Akuntansi Jilid 2;2354;1;Jarang dipinjam
Akuntansi keuangan intermediate accounting buku 1;25972;1;Jarang dipinjam
Surat batak;35890;1;Jarang dipinjam
detik-detik proklamasi saat-saat menegangkan menjelang kemerdekaan republik;39514;1;Jarang dipinjam
Psikologi sosial;33742;1;Jarang dipinjam
HIMPUNAN LENGKAP UNDANG-UNDANG PPH;34128;1;Jarang dipinjam
Hukum pajak;24194;2;Jarang dipinjam
Pengantar hukum pajak - Edisi terbaru;41834;1;Jarang dipinjam
Pengantar statistik pendidikan;32151;3;Sering dipinjam
Structural Equation Modeling: Data Kuesioner;28269;1;Jarang dipinjam
Makroekonomi;304PB3.2;2;Jarang dipinjam
Akuntansi perpajakan ed.2;32063;6;Sering dipinjam
Akuntansi Manajerial Accounting Managerial;2665;5;Sering dipinjam
Akuntansi manajemen jil.1;2239;3;Sering dipinjam
Akuntansi manajemen jil.1;269;5;Sering dipinjam
Akuntansi pajak ed.6;18716;4;Sering dipinjam
Akuntansi pajak ed.6;18715;3;Sering dipinjam
PENGANTAR RISET OPERASI EDISI 3;32423;7;Sering dipinjam
Belajar dan pembelajaran SAINS;17863;1;Jarang dipinjam
PENGANTAR RISET OPERASI EDISI 3;32379;5;Sering dipinjam
Belajar dan pembelajaran sains;17582;1;Jarang dipinjam
Pemrograman komputer;48568;1;Jarang dipinjam
Hukum administrasi negara;155sm3;5;Sering dipinjam
Hukum administrasi negara;H004;9;Sering dipinjam
metodologi penelitian sastra Epistemologi, model, teori dan aplikasi;20699;1;Jarang dipinjam
Metodologi Penelitian Sosiologi Sastra;35082;2;Jarang dipinjam
AKUNTANSI MANAJEMEN;39610;2;Jarang dipinjam
AKUNTANSI MANAJEMEN SISTEM PROSES DAN PEMECAHAN SOSIAL;40372;2;Jarang dipinjam
Akuntansi perpajakan;1625;8;Sering dipinjam
Akuntansi manajemen jil.1;2239;4;Sering dipinjam
Managerial accounting;34241;3;Sering dipinjam
Pemahaman seputar hukum waris adat di Indonesia;26908;1;Jarang dipinjam
Seni berkata tidak;50785;4;Sering dipinjam
Morfologi;19690;2;Jarang dipinjam
Morfologi bahasa indonesia;47729;2;Jarang dipinjam
PENGAJARAN MORFOLOGI;19392;2;Jarang dipinjam
KAJIAN MORFOLOGI;531APBN3.4;1;Jarang dipinjam
Akuntansi manajemen : alat pengukuran dan pengambilan keputusan manajerial;27221;7;Sering dipinjam
Tak masalah menjadi orang yang berbeda it's okay you're just diffrent;49517;2;Jarang dipinjam
Gadis kretek;49888;4;Sering dipinjam
Evaluasi pembelajaran;37897;3;Sering dipinjam
Dasar-dasar evaluasi pendidikan ED.2;40291;2;Jarang dipinjam
Evaluasi dan asesmen pembelajaran;47698;3;Sering dipinjam
Pengajaran semantik;31553;2;Jarang dipinjam
Balada Gimpul (novel);771;2;Jarang dipinjam
Etika bisnis dan profesi;41905;1;Jarang dipinjam
Etika bisnis dasar dan aplikasinya;22635;1;Jarang dipinjam
Komunikasi bisnis;2234;1;Jarang dipinjam
Pengantar Bisnis;42163;3;Sering dipinjam
Pengantar Bisnis;U0040011;3;Sering dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;50059;6;Sering dipinjam
Pengantar Bisnis;U0040000;2;Jarang dipinjam
Pengantar bisnis;26315;3;Sering dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;41520;9;Sering dipinjam
Pengantar bisnis;26313;2;Jarang dipinjam
Pengantar bisnis teori dan contoh kasus;40926;2;Jarang dipinjam
Akuntansi pengantar 1;49712;2;Jarang dipinjam
Pengantar bisnis;26314;4;Sering dipinjam
Pengantar bisnis;49590;3;Sering dipinjam
Akuntansi keuangan profesional kelola liabilitas dan ekuitas;49334;1;Jarang dipinjam
Akuntansi manajemen edisi 3 revisi;40265;10;Sering dipinjam
PENGANTAR BISNIS EDISI 8 BUKU 2;33912;1;Jarang dipinjam
Geometri analitik pada ruang dimensi dua;48782;2;Jarang dipinjam
Geometri analitik;47485;1;Jarang dipinjam
Ekonomi kelembagaan;2394;1;Jarang dipinjam
AKUNTANSI PAJAK ED.2;24644;2;Jarang dipinjam
Akuntansi perpajakan;2517;2;Jarang dipinjam
English Skills Booster Grammar Tenses Vocabulary Conversation : Modul Komplet Untuk Latihan Autodidak Bahasa Inggris;45404;5;Sering dipinjam
CARA CEPAT MENGUASAI GRAMMAR TANPA RIBET;50579;2;Jarang dipinjam
Cara mudah kuasai grammar;17943;2;Jarang dipinjam
Akuntansi keuangan menengah berbasis PSAK BUKU 2;18961;1;Jarang dipinjam
Akuntansi manajemen jilid 2;2244;2;Jarang dipinjam
AKUNTANSI MANAJEMEN;41976;1;Jarang dipinjam
Teori, konsep dan aplikasi Akuntansi sektor publik;2244;3;Sering dipinjam
AKUNTANSI SEKTOR PUBLIK;34073;2;Jarang dipinjam
Akuntansi sektor publik;1687;2;Jarang dipinjam
Akuntansi sektor publik edisi terbaru;45304;3;Sering dipinjam
PENGANTAR RISET OPERASI EDISI 3;32424;5;Sering dipinjam
Akuntansi suatu pengantar revisi;32396;1;Jarang dipinjam
Dua Dini Hari;44405;2;Jarang dipinjam
Akuntansi keuangan : pemahaman perhitungan dan pencatatan akuntansi keuangan;48156;2;Jarang dipinjam
Akuntansi keuangan : pemahaman perhitungan dan pencatatan akuntansi keuangan;49388;1;Jarang dipinjam
Principles of economics pengantar ekonomi makro;311PB3.3;5;Sering dipinjam
Principles of economics pengantar ekonomi makro;311PB3.2;3;Sering dipinjam
Principles of economics pengantar ekonomi makro;24180;6;Sering dipinjam
Principles of economics pengantar ekonomi makro;24269;5;Sering dipinjam
Akuntansi manajemen;47740;1;Jarang dipinjam
Akuntansi manajerial : Managerial Accounting, edisi 11;A020001;3;Sering dipinjam
Akuntansi manajerial ed.14 bku 1;33828;1;Jarang dipinjam
Akuntansi manajemen edisi 3 revisi;13.057.019;6;Sering dipinjam
Akuntansi manajerial suatu orientasi praktis;42050;3;Sering dipinjam
Manajemen keuangan;2587;3;Sering dipinjam
Akuntansi manajemen untuk usahanya;24377;1;Jarang dipinjam
Akuntansi manajemen;1725;5;Sering dipinjam
Akuntansi manajerial ed.14 bku 1;31940;4;Sering dipinjam
Akuntansi perpajakan;090sm3;2;Jarang dipinjam
Belajar grammar untuk pemula;35583;2;Jarang dipinjam
EYD & kaidah bahasa indonesia;492sm3;1;Jarang dipinjam
AKUNTANSI MANAJEMEN TEORI DAN APLIKASI;29227;1;Jarang dipinjam
akuntasi manajemen : sistem, proses,dan pemecahan soal;43165;1;Jarang dipinjam
AKUNTANSI MANAJEMEN SISTEM PROSES DAN PEMECAHAN SOSIAL;764HB3.1;3;Sering dipinjam
AKUNTANSI MANAJEMEN SISTEM PROSES DAN PEMECAHAN SOSIAL;561;1;Jarang dipinjam
Aljabar dan Kalkulus;44278;4;Sering dipinjam
Mathematics undercover;49003;1;Jarang dipinjam
Mathematics undercover;49002;2;Jarang dipinjam
Rumus-rumus cepat matematika sma;48943;2;Jarang dipinjam
Makroekonomi;1;7;Sering dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;1756;7;Sering dipinjam
Teori ekonomi makro suatu pengantar;28146;7;Sering dipinjam
Ekonomika Makro Edisi Revis;U0000142;5;Sering dipinjam
AKUNTANSI  KEUANGAN DASAR 1 Teori dan kasus;269.12;1;Jarang dipinjam
Bisnis pengantar konsep, strategi, & kasus;40204;2;Jarang dipinjam
Ekonomika Makro Edisi Revis;U0000144;7;Sering dipinjam
Pukat;19973;2;Jarang dipinjam
Statistika penelitian;27572;3;Sering dipinjam
Aku sadar, aku gila;17944;1;Jarang dipinjam
Etika bisnis dan profesi;47081;5;Sering dipinjam
Etika Bisnis;1903;6;Sering dipinjam
Etika Bisnis;35546;5;Sering dipinjam
Etika bisnis dan profesi;48687;6;Sering dipinjam
pengantar ilmu ekonomi makro;233;4;Sering dipinjam
Pengantar ilmu ekonomi makro( teori & soal );151;3;Sering dipinjam
pengantar ilmu ekonomi makro;249;6;Sering dipinjam
Bahasa indonesia untuk perguruan tinggi;2198;4;Sering dipinjam
KOMPISISI BAHASA INDONESIA REVISI 4;42557;1;Jarang dipinjam
Komposisi Bahasa Indonesia;K147;1;Jarang dipinjam
Akuntansi keuangan lanjutan (perspektif Indonesia) buku 2;42639;8;Sering dipinjam
Bungkam suara sebuah novel;49901;4;Sering dipinjam
Pada sebuah kapal;30333;1;Jarang dipinjam
Rindu;50693;4;Sering dipinjam
METODOLOGI PENELITIAN KUALITATIF;37434;2;Jarang dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;1490;3;Sering dipinjam
HUKUM ADMINISTRASI NEGARA;44335;1;Jarang dipinjam
Hukum administrasi;17262;3;Sering dipinjam
Hukum administrasi;2861;2;Jarang dipinjam
Hukum administrasi;44440;3;Sering dipinjam
Analisis laporan keuangan buku 1;37770;2;Jarang dipinjam
Etika bisnis bagi pelaku bisnis;28557;5;Sering dipinjam
Analisis laporan keuangan buku 1;37903;1;Jarang dipinjam
ILMU POLITIK;42751;1;Jarang dipinjam
Sistem politik Indonesia;35245;1;Jarang dipinjam
Ekonomi kelembagaan;2393;1;Jarang dipinjam
Ekonomi kelembagaan;2393;1;Jarang dipinjam
Ekonomi kelembagaan;2393;1;Jarang dipinjam
Ekonomi kelembagaan;2393;1;Jarang dipinjam
Akuntansi perpajakan;31702;3;Sering dipinjam
AKUNTANSI PAJAK ED.2;24643;3;Sering dipinjam
Auditing jilid 1;24273;4;Sering dipinjam
AKUNTANSI PAJAK ED.2;24171;4;Sering dipinjam
Akuntansi manajemen edisi 3 revisi;13.057.012;7;Sering dipinjam
Akuntansi manajemen jil.1;2239;4;Sering dipinjam
Auditing buku 1;17309;3;Sering dipinjam
Auditing buku 1;55004;2;Jarang dipinjam
Auditing buku 2;321PB3.8;2;Jarang dipinjam
Akuntansi Manajerial Accounting Managerial;39911;6;Sering dipinjam
Akuntansi Manajemen;U00273;3;Sering dipinjam
Etika bisnis dan profesi;41889;4;Sering dipinjam
Etika bisnis dan profesi;41892;2;Jarang dipinjam
Etika bisnis dan profesi;31920;3;Sering dipinjam
Etika bisnis dan profesi;31922;4;Sering dipinjam
Akuntansi manajemen jil.1;34054;3;Sering dipinjam
Kurikulum tingkat satuan pendidikan;19755;1;Jarang dipinjam
Etika Bisnis;1903;6;Sering dipinjam
Dasar-dasar akuntansi jilid 1;34094;1;Jarang dipinjam
ILMU MAKRO EKONOMI;35305;3;Sering dipinjam
Akuntansi keuangan : pemahaman perhitungan dan pencatatan akuntansi keuangan;49389;1;Jarang dipinjam
PENGANTAR EKONOMIKA MAKRO;24769;3;Sering dipinjam
THE GENESIS OF MACROECONOMICS;640;3;Sering dipinjam
Pengantar Teori Ekonomi;33418;4;Sering dipinjam
Etika bisnis bagi pelaku bisnis;42080;4;Sering dipinjam
Ekonomi makro;49194;2;Jarang dipinjam
Pengantar Teori Ekonomi;1721;2;Jarang dipinjam
Akuntansi keuangan menengah 1;2867;1;Jarang dipinjam
Akuntansi lingkungan & pengungkapannya;2197;2;Jarang dipinjam
Akuntansi Manajemen Lingkungan;32858;1;Jarang dipinjam
Etika bisnis bagi pelaku bisnis;42079;5;Sering dipinjam
Etika bisnis bagi pelaku bisnis;28556;3;Sering dipinjam
Etika bisnis bagi pelaku bisnis;42081;5;Sering dipinjam
KITAB UNDANG UNDANG HUKUM PERDATA;15.222.2;2;Jarang dipinjam
