Judul;Nomor Klasifikasi;Nama Klasifikasi;Kode Eksemplar
Buku ajar teori dan praktik teknik tegangan tinggi;621;Ilmu-ilmu terapan;<70325>
Book Chapter nelayan suatu tinjauan sosiologi ekonomi;301;Ilmu-ilmu sosial;<70324>
Mimpi bersama daun jati : otobiografi seorang anak kampung;813;Kesusastraan;<70322><70323>
Buku ajar pengendalian pencemaran udara;304;Ilmu-ilmu sosial;<70319><70320><70321>
Aljabar linear dasar ed.3;513;Ilmu-ilmu murni;<70249><70250>
Metode penelitian hukum;1;Karya umum;<70245><70246>
Metode penelitian kualitatif untuk keguruan & pendidikan;1;Karya umum;<70247><70248>
Masa depan peradilan menurut sains dan teknologi;340;Ilmu-ilmu sosial;<70242><70243>
Hermeneutika putusan hakim;347;Ilmu-ilmu sosial;<70240><70241>
Mumi dinasti kurulik;813;Kesusastraan;<70238><70239>
Pengantar akuntansi 1;657;Ilmu-ilmu terapan;<70232><70233>
Tata kelola korporat di indonesia teori, prinsip dan praktik;658;Ilmu-ilmu terapan;<70231>
Prinsip-prinsip ekonomi ed.13 Jilid 1;330;Ilmu-ilmu sosial;<70226>
Berpikir komputasional dan pemrograman dengan pyton;5;Karya umum;<70234><70235>
Seri 1 digital forensik panduan umum;5;Karya umum;<70236><70237>
Public speaking;302;Ilmu-ilmu sosial;<70224><70225>
Manajemen dana dan pembiayaan BMT;332;Ilmu-ilmu sosial;<70216><70217>
Tujuh minggu diatas awan papua;813;Kesusastraan;<70218><70219>
Sistem cerdas dan pendukung keputusan decision support and intelligent system;500;Ilmu-ilmu murni;<70222><70223>
Melintang patah membujur lalu;155;Filsafat;<70297><70298>
Rumput laut untuk ketahanan pangan,;580;Ilmu-ilmu murni;<70299><70300>
Pengembangan sumber belajar interaktif berbasis digital;370;Ilmu-ilmu sosial;<70301><70302>
Nuansa periklanan korporat meneropong;385;Ilmu-ilmu sosial;<70303><70304>
Analisis autentikasi makanan minyak dan lemak;615;Ilmu-ilmu terapan;<70307><70308>
Alfred Schutz pengarusutamaan fenemologi dalam tradisi ilmu sosial;1;Karya umum;<70309><70310>
Buku saku penelitian pendidikan penelitian tindakan kelas penulisan karya ilmiah;1;Karya umum;<70305><70306>
Kewirausahaan;338;Ilmu-ilmu sosial;<70292>
Komunisasi Bisnis;650;Ilmu-ilmu terapan;<70293>
Jam ke 25 kontribusi guru untuk pendidikan;371;Ilmu-ilmu sosial;<70294><70295><70296>
Ada apa dengan diabetes mellitus tipe 2;616;Ilmu-ilmu terapan;<70291>
Dasar-dasar kebijakan publik edisi revisi ke-2;352;Ilmu-ilmu sosial;<48054>
MikroBiologi;600;Ilmu-ilmu terapan;<27458><37373>
How to jump start your  (next) career siasat agar karier meleset;158;Filsafat;<70212>
Pengantar manajemen;658;Ilmu-ilmu terapan;<70229><70230>
Komunikasi bisnis;650;Ilmu-ilmu terapan;<70227><70228>
Hubungan kerja sama indonesia dan jepang;341;Ilmu-ilmu sosial;<47254><47255><48892><48893><70343><70344>
Modul iktiologi (ikan dan segala aspek kehidupannya);639;Ilmu-ilmu terapan;<70272>
Tanjung tanpa telaga;813;Kesusastraan;<70251><70271>
Teknologi sensor;620;Ilmu-ilmu terapan;<49304><49305><70333><70334>
Hukum kontrak interprestasi dan penyelesaian sengketa di indonesia;346;Ilmu-ilmu sosial;<70285><70286>
Eduart a Project Based Learning;371;Ilmu-ilmu sosial;<70281><70282>
Eduart a project based learning 2;371;Ilmu-ilmu sosial;<70283><70284>
Mikrobiologi Mengenal bakteri;579;Ilmu-ilmu murni;<70287><70288>
Elektronika dasar;621;Ilmu-ilmu terapan;<70289><70290>
Motivasi bisnis IKM;650;Ilmu-ilmu terapan;<70279><70280>
Guru tiada beban;371;Ilmu-ilmu sosial;<70273><70274>
The secret of the teaching and learning;371;Ilmu-ilmu sosial;<70277><70278>
Hak reparasi saksidan korban;345;Ilmu-ilmu sosial;<70275><70276>
Story of the future;808;Kesusastraan;<49120><49121><70220><70221>
Belajar & Faktor-Faktor Yang Mempengaruhinya;371;Ilmu-ilmu sosial;<U00300222><U00300223><u00300221>
Metodologi penelitian panduan lengkap penelitian dengan mudah;1;Karya umum;<45320><45322><45323><45363><45364><46539><46540><48001><48002><48003><48004><48005><48006>
Where am i eating ?;1;Karya umum;<46510><46511><46512><46513><46514><46515><46516><46517><46518><46519>
Dasar-dasar kebijakan publik;352;Ilmu-ilmu sosial;<1927.1><1927.2><1927.3><1927.4><1927.5><1927.6><30493><23457><37332><37853><48055><49556><49580>
Pengantar ekonomi Mikro & makro;330;Ilmu-ilmu sosial;<1950.1><1950.2>
Company of one strategi bisnis untuk menjadi lebih baik bukan lebih besar;650;Ilmu-ilmu terapan;<70211>
Leadership mastery sukses memimpin diri sendiri dan orang lain meraih posisi no 1;158;Filsafat;<70210>
Pakar marketing framework;659;Ilmu-ilmu terapan;<70209>
Tata cara pemijahan ikan wader pari (rasbora lateristriata);639;Ilmu-ilmu terapan;<70208>
Pengelolaan daerah aliran sungai (DAS) & konservasi tanah & air;793;Kesenian, hiburan, dan olahraga;<70207>
Perbandingan hukum tata negara (filsafat, teori dan praktik );342;Ilmu-ilmu sosial;<70205>
MARKETING PLAN! DALAM BISNIS;650;Ilmu-ilmu terapan;<37232><70204>
Jazirah Sebelas Laut dan kembara kata kata;811;Kesusastraan;<70203>
Project based learning untuk pembelajaran abad 21;371;Ilmu-ilmu sosial;<70202>
Berani bahagia kunci kebahagiaan sejati adalah diri anda sendiri;158;Filsafat;<70206>
Akuntansi biaya;657;Ilmu-ilmu terapan;<70201>
Teknologi informasi dan komputer di era revolusi industri 4.0;4;Karya umum;<70198>
Dasar-dasar hukum kebendaan hak kebendaan memberi kenikmatan & jaminan;346;Ilmu-ilmu sosial;<70214><70215>
Amazon web services (AWS) untuk pemula;4;Karya umum;<70170>
How to grow rich rahasia kaya para miliarder yang bisa dilakukan siapa saja;158;Filsafat;<70168>
Pale blue dot memandang masa depan manusia di antariksa;500;Ilmu-ilmu murni;<70167>
Membuat augmented reality skala proyek & skripsi;4;Karya umum;<70165><70175>
Karakteristik morfologi tumbuhan;571;Ilmu-ilmu murni;<70164>
Pratical steps to think & grow rich mengungkap langkah rahasia miliarder meraih kekayaan;158;Filsafat;<70162><70163>
Implementasi kurikulum merdeka;375;Ilmu-ilmu sosial;<70160>
Organisasi struktur, perilaku, proses, dan dan hasil;658101;Geografi dan sejarah;<70159>
Manajemen kinerja teori dan aplikasi;658306;Geografi dan sejarah;<2681.1><22194><37888><37958>
Geologi umum bagian pertama;550;Ilmu-ilmu murni;<70192>
Pengantar metodologi penelitian untuk ilmu manajemen akuntansi, dan bisnis;1;Karya umum;<70191>
10 Steps to a more fulfilling life menjadi pribadi yang bahagia & inspiratif;158;Filsafat;<70189>
Indo-pasifik sebuah konstruksi geopolitik;320;Ilmu-ilmu sosial;<70169><70188>
36 Jam belajar komputer microsoft office 2021;6;Karya umum;<70187>
Bahan ajar biolagi laut;570;Ilmu-ilmu murni;<70185>
Hukum administrasi negara;341;Ilmu-ilmu sosial;<70183>
Manajemen mutu terpadu total quality management;658;Ilmu-ilmu terapan;<70182>
PHP edisi lengkap;5;Karya umum;<70181>
Pemrograman web berbasis kecerdasan buatan;5;Karya umum;<70180>
Lancar java dan javascript;4;Karya umum;<70179>
The complete guide to fasting seni berpuasa sehat lengkap dan terbukti secara ilmiah;613;Ilmu-ilmu terapan;<70178>
Network tweaking dan hacking trik menjelajahi jaringan yang jarang diungkapkan;4;Karya umum;<70177>
Proteksi sistem tenaga listrik;333;Ilmu-ilmu sosial;<70176>
Etika bisnis dan profesi;174;Filsafat;<948APBN3.1><948APBN3.2><948APBN3.3><948APBN3.4><948APBN3.5><31920><31921><31922><31923><33007><33008><33009><33010><41888><41889><41890><41891><41892><41905><34884><34885><34886><34887><28543><28544><28545><28546><28547>
Metodologi penelitian penciptaan karya practice-ied research and practice-based research;1;Karya umum;<50688><70200>
Dasar-dasar mikrobiologi makanan dibidang gizi & kesehatan;576;Ilmu-ilmu murni;<49611><70199>
Membuat aplikasi android tanpa coding;5;Karya umum;<49456><49457><60451><60640><70197>
Metodologi penelitian kuantitatif, kualitatif dan mix method ed.2;1;Karya umum;<70196>
Ekonomi industri ed. revisi;339;Ilmu-ilmu sosial;<50655><70184><70195>
Manajemen produksi;659;Ilmu-ilmu terapan;<60791><70194>
Trik jitu belajar web python (django 3.x);5;Karya umum;<49973><49974><49975><70193>
Dinamika penyiapan proyek kerja sama pemerintah dan badan usaha di Indonesia;658;Ilmu-ilmu terapan;<60528><70190>
Kitab MS Excel 2021;4;Karya umum;<49558><70186>
Teknologi pengolahan produk perikanan;665;Ilmu-ilmu terapan;<50829><60688><70174>
Kajian analisis regresi linear dalam penelitian;520;Ilmu-ilmu murni;<49817><70173>
Marketing 5.0 teknologi untuk kemanusiaan;380;Ilmu-ilmu sosial;<50831><60816><70172>
Python untuk programmer pemula: buku bergizi untuk programmer pemula yang ingin mempelajari python;5;Karya umum;<48232><70171>
Netnografi metode penelitian etnografi digital pada masyarakat modern;301;Ilmu-ilmu sosial;<50708><50770><70166>
Pengantar teknik reaksi kimia;540;Ilmu-ilmu murni;<49496><70161>
Ensiklopedia metode pembelajaran inovatif dengan 61 metode;31;Karya umum;<70125><70158>
Manajemen Kinerja ed baru;658;Ilmu-ilmu terapan;<39984><70157>
Mahir segala macam jenis desain dengan canva siapapun bisa menjadi desainer;4;Karya umum;<70144><70154><70156>
Strategi pembelajaran jarak jauh dalam infrastruktur yang buruk;4678;Geografi dan sejarah;<70140>
Guru milenial dan tantangan society 5.0;371;Ilmu-ilmu sosial;<70141>
Pendidikan karakter membangun generasi muda yang cerdas berkarakter;370;Ilmu-ilmu sosial;<70137>
Tiny habits perubahan-perubahan kecil yang mengubah hidup;126;Filsafat;<70138>
Guru posting berdiri murid update berlari;371;Ilmu-ilmu sosial;<70139>
Origins bagaimana sejarah bumi membentuk sejarah umat manusia;900;Geografi dan sejarah;<70143>
Kimia fisika;610;Ilmu-ilmu terapan;<70145>
Biokimia farmasi;611;Ilmu-ilmu terapan;<70146>
Transformasi level dewa : rahasia sukses bos samsung menguasai pasar global;158;Filsafat;<70147>
Kebijakan pengelolaan perikanan tangkap skala kecil;381;Ilmu-ilmu sosial;<70148>
Online business golden book empat langkah mimum hasil maksimum;650;Ilmu-ilmu terapan;<70150>
Rintangan adalah jalan filosofi tak lekang;200;Agama;<60405><70151>
Kimia analisa;543;Ilmu-ilmu murni;<70136><70153>
Kebijakan publik untuk transformasi sosial sebuah pendekatan kritis agonistik;306;Ilmu-ilmu sosial;<60795><70155>
Konsep dan penerapan IP Versi 6 dalam membangun jaringan komputer;5;Karya umum;<60696><70152>
Teknik infrastruktur jaringan distribusi tenaga listrik;621;Ilmu-ilmu terapan;<50798><70149>
Internet of thins (IOT) mengubah wajah pendidikan indonesia;370;Ilmu-ilmu sosial;<49917><70142>
MANAJEMEN PEMASARAN DAN PEMASARAN JASA;650;Ilmu-ilmu terapan;<475APBN3.1><475APBN3.2><475APBN3.3><475APBN3.4><34364><34365><34367><34368><34369><34370><34366><27906>
Budaya organisasi pengertian, makna, dan aplikasinya,;302;Ilmu-ilmu sosial;<70124>
Pengantar ilmu pendidikan;370;Ilmu-ilmu sosial;<70128>
7 in 1 pemrograman web untuk pemula (update versiion);5;Karya umum;<70129>
Seni menyederhanakan hidup 100;126;Filsafat;<70130>
Hcm 4.0 peta jalan upgrade sistem manajamen sdm masa depan;650;Ilmu-ilmu terapan;<70131>
Mengenal lebih jauh dasar pemrograman python teori dan praktik;5;Karya umum;<70132>
Manajemen talenta aparatur sipil negara;353;Ilmu-ilmu sosial;<70133>
David and goliath ketika si lemah menang melawan raksasa;813;Kesusastraan;<70068>
Radikalisme lokal oposisi dan perlawanan;303;Ilmu-ilmu sosial;<70065>
Kolaborasi data antarprogram Microsoft office 2019;5;Karya umum;<70067>
Polri, disrupsi, dan IKN Nusantara menelisik penerapan smart policing dan predictive policing;306;Ilmu-ilmu sosial;<70064>
Hukum ansuransi;346;Ilmu-ilmu sosial;<70062>
Manajemen komunikasi bisnis;380;Ilmu-ilmu sosial;<70061>
Great family business;650;Ilmu-ilmu terapan;<70060>
Rahasia keluarga dan cerita-cerita lainnya;813;Kesusastraan;<70059>
Agile organization structure;658;Ilmu-ilmu terapan;<70058>
Pengantar manajemen panduan pengelolaan organisasi di era digital;650;Ilmu-ilmu terapan;<70056>
Matematika dasar;510;Ilmu-ilmu murni;<50801><70135>
Belajar sendiri power query excel untuk pemula;6;Karya umum;<50724><70134>
Pengelolaan keuangan badan usaha milik desa sesuai PP No.11 Tahun 2021;657;Ilmu-ilmu terapan;<49881><50691><70127>
Metodologi penelitian kualitatif membantu peneliti dan mahasiswa;1;Karya umum;<49431><49432><49433><49434><49435><49436><70126>
Python untuk analisis dan visualisasi data jalan pintas;4;Karya umum;<70089><70090><70091><70092>
Pasca-corona dari krisis ke peluang;524;Ilmu-ilmu murni;<70039>
Administrasi publik baru indonesia;350;Ilmu-ilmu sosial;<70041>
How to have a beautiful mind;126;Filsafat;<70036>
Pengelolan berkelanjutan pada kawasan konservasi penyu hijau;597;Ilmu-ilmu murni;<70037>
Trik-trik public speaking untuk memenangkan hati audiens,;126;Filsafat;<70038>
Analisis data penelitian menggunakan software;650;Ilmu-ilmu terapan;<70047>
Memahami laporan keuangan dan analisisnya;657;Ilmu-ilmu terapan;<70046>
Yuk mulai pakai digital marketing ! strategi kekinian agar bisnis gampang cuan;4;Karya umum;<70044>
Undang-undang ibu kota negara (UU RI No. 3 Tahun 2022);348;Ilmu-ilmu sosial;<70043>
Mengapa kita memilih narsisis dan sosiopot;126;Filsafat;<70042>
M-Leadership berani memimpin move motivate make a difference;303;Ilmu-ilmu sosial;<70051>
Pengantar psikologi sosial;302;Ilmu-ilmu sosial;<70050>
New to big bagaimana perusahaan terus bertumbuh;336;Ilmu-ilmu sosial;<70049>
Politik perpajakan kolonial di indonesia antara eksploitasi dan resistensi;336;Ilmu-ilmu sosial;<70048>
Rahasia berpikir positif mengubah diri, mengubah cara berpikir;126;Filsafat;<70053>
Pemrograman scratch untuk pemula;5;Karya umum;<70052>
Model penelitian sosiologi;1;Karya umum;<70055>
The anthropocene reviewed;128;Filsafat;<70054>
Hermeneutika teori interprestasi dalam pemikiran;153;Filsafat;<70045><70105>
Soft diplomacy kaum muda indonesia;320;Ilmu-ilmu sosial;<70040><70098>
Biokimia farmasi;615;Ilmu-ilmu terapan;<70107><70108>
Perencanaan kuangan syariah bagaimana islam mengatur tentang pengelolaan harta;297;Agama;<70096><70097>
Panduan lengkap SPSS 26;310;Ilmu-ilmu sosial;<45442><49509><70063><70123>
Manajemen pemasaran & pemasaran jasa;658;Ilmu-ilmu terapan;<49926><60941><60958><70122>
101 Trik excel gaya youtober;5;Karya umum;<50647><50678><70121>
Mudahnya membuat web e-learning berbasis web dan android;5;Karya umum;<60656><60910><70076><70120>
TEKNIK PENANGANAN HASIL PERIKANAN;639;Ilmu-ilmu terapan;<17667><37782><37802><37844><37845><37846><37847><37848><37850><50684><60602><70119>
Perilaku konsumen dalam persaingan bisnis kontemporer;658;Ilmu-ilmu terapan;<60660><60726><60867><60868><70118>
Pengembangan bahan ajar;375;Ilmu-ilmu sosial;<48205><48257><49772><49773><70100><70117>
Metodologi penelitian;1;Karya umum;<60380><60381><60382><60383><60384><60385><60386><60740><60835><60849><60902><60974><70006><70114><70115>
Fisika dasar untuk sains dan teknik jilid 1 mekanika;530;Ilmu-ilmu murni;<46681><46682><46700><48170><48309><49706><49707><49793><60321><70113>
Transformasi budaya organisasi;300;Ilmu-ilmu sosial;<60711><70112>
Bagaimana demokrasi mati;322;Ilmu-ilmu sosial;<45380><45470><46556><49740><49741><49792><60280><60281><60282><60632><60846><70111>
Ekonomi moneter : studi kasus indonesia;340;Ilmu-ilmu sosial;<48220><48252><60542><60635><60979><70110>
Kimia medisinal anorganik;620;Ilmu-ilmu terapan;<49868><70109>
Kimia Organik 1;548;Ilmu-ilmu murni;<49450><49854><70073><70106>
Pengenalan machine learning dengan python : solusi untuk permasalahan big data;621;Ilmu-ilmu terapan;<48080><48081><60238><60239><60340><60415><70002><70104>
Bermain-main dengan registry windows : windows 11;5;Karya umum;<45245><70103>
Kimia organik 2;548;Ilmu-ilmu murni;<49451><50672><70102>
Pengantar akuntansi 1;657;Ilmu-ilmu terapan;<49528><49995><60319><60362><60917><70101>
Desain dan implementasi blended learning integrasi teknologi dan pedagogi;371;Ilmu-ilmu sosial;<60808><70099>
Desain grafis dengan canva untuk pemula;742;Kesenian, hiburan, dan olahraga;<49998><50732><50739><70086><70094><70095>
Lokalisasi kekuasaan di Indonesia pasca otoritarianisme;320;Ilmu-ilmu sosial;<60754><70093>
Belajar pemrograman dan hacking menggunakan python;6;Karya umum;<50784><70088>
Desain & pemrograman drone cerdas;5;Karya umum;<49848><50763><70087>
Manajemen keuangan teori, aplikasi dan hasil penelitian;657;Ilmu-ilmu terapan;<49910><60609><60671><70085>
Menjadi guru penggerak merdeka pelajar;371;Ilmu-ilmu sosial;<48273><48282><49531><49789><49790><60236><60237><60368><60373><60655><60786><60993><60994><60995><70082><70083><70084>
HTML, PHP, dan MYSQ untuk pemula (update version);3;Karya umum;<60402><60838><70081>
Belajar sendiri mengolah data dengan Python & pandas;4;Karya umum;<46597><49981><50679><50680><60330><60997><70078><70079><70080>
Rumput laut pangan kimiawi, bioktivitas dan toksisitas;589;Ilmu-ilmu murni;<60499><60704><60874><70077>
Kimia air;540;Ilmu-ilmu murni;<60486><60624><70070><70075>
Kimia dasar;540;Ilmu-ilmu murni;<49522><60328><60980><60981><70074>
Seri terampil menulis bahasa Indonesia paragraf;499;Bahasa;<46634><48021><48022><48023><48024><48025><49368><49396><49678><70072>
Panduan lengkap teori dan praktik arduino berbasis Iot industri 4.0;5;Karya umum;<49835><50797><60998><70071>
Mikroplastik di perairan jenis, metode sampling dan analisis laboratorium;668;Ilmu-ilmu terapan;<50711><60311><60426><70069>
Pemrograman SQL Server 2019;4;Karya umum;<46790><48211><50697><60960><70066>
Fisiologi reproduksi ikan dan hewan air;573;Ilmu-ilmu murni;<50753><70057>
Service management mewujudkan layanan prima ed.4;658;Ilmu-ilmu terapan;<70013><70014>
Pengantar ilmu hukum;340;Ilmu-ilmu sosial;<49812><49813><49954><49961><60618><70001>
Metodologi penelitian kuantitatif teoritik dan praktik;1;Karya umum;<60977>
Perilalku organisasi;302;Ilmu-ilmu sosial;<50717><70035>
Model-model pembelajaran;371;Ilmu-ilmu sosial;<BIC104><055sm3><247sm3><362sm3><505sm3><1651.1><17156><19000><18418><18419><18420><18421><18422><20234><20552><20553><20601><20776><20842><30503><60961><70034>
Model-model analisis regresi nonlinear dalam riset sosial (kajian bivariat);520;Ilmu-ilmu murni;<60788><60787><60872><60873><70033>
Manajemen kinerja sdm untuk era revolusi industri 4.0;658;Ilmu-ilmu terapan;<60723><60904><70031>
Politik identitas dalam perspektif alquran dan teori modern;320;Ilmu-ilmu sosial;<50698><60807><60880><70004><70030>
Analisis strategi panduan praktis SWOT;658;Ilmu-ilmu terapan;<49993><60730><60850><60851><60906><70029>
Kupas tuntas budidaya sidat;640;Ilmu-ilmu terapan;<60663><70028>
Cyber pedagogy : pendampingan guru tepat di era digital;371;Ilmu-ilmu sosial;<48223><49544><60331><60642><70027>
Auto mapan finansial 2 strategi mengatur keuangan dan investasi;332;Ilmu-ilmu sosial;<60676><60986><60987>
Manajemen SDM dalam organisasi publik dan bisnis;351;Ilmu-ilmu sosial;<60706><70026>
Most wanted tips & trick word + powerpoint 2021 langsung mahir;6;Karya umum;<60988><60989><60990><60991><60992>
Dasar logika pemrograman komputer : panduan berbasis flowchart menggunakan flowgorithm;5;Karya umum;<48209><49982><70005><70025>
Praktis membuat website sendiri dengan wordpress;6;Karya umum;<60793><70021><70022><70023><70024>
Kosakata : Seri terampil menulis Bahasa Indonesia;499;Bahasa;<47990><47991><50695><60354><70020>
Seri terampil menulis Bahasa Indonesia kalimat;372;Ilmu-ilmu sosial;<46522><46532><48014><48015><48016><48017><48018><48019><48020><49366><49367><49395><49507><60343><70019>
